code,yr,REG,team,lg,g,pa,ab,r,h,tb,2b,3b,hr,rbi,sh,sf,sb,cs,bb,ib,hb,so,gidp,pos
jeted001,1995,REG,NY ,A,15,51,48,5,12,18,4,1,0,7,0,0,0,0,3,0,0,11,0,S
jeted001,1996,REG,NY ,A,157,654,582,104,183,250,25,6,10,78,6,9,14,7,48,1,9,102,13,S
jeted001,1997,REG,NY ,A,159,748,654,116,190,265,31,7,10,70,8,2,23,12,74,0,10,125,14,S
jeted001,1998,REG,NY ,A,149,694,626,127,203,301,25,8,19,84,3,3,30,6,57,1,5,119,13,S
jeted001,1999,REG,NY ,A,158,739,627,134,219,346,37,9,24,102,3,6,19,8,91,5,12,116,12,S
jeted001,2000,REG,NY ,A,148,679,593,119,201,285,31,4,15,73,3,3,22,4,68,4,12,99,14,S
jeted001,2001,REG,NY ,A,150,686,614,110,191,295,35,3,21,74,5,1,27,3,56,3,10,99,13,S
jeted001,2002,REG,NY ,A,157,730,644,124,191,271,26,0,18,75,3,3,32,3,73,2,7,114,14,S
jeted001,2003,REG,NY ,A,119,542,482,87,156,217,25,3,10,52,3,1,11,5,43,2,13,88,10,S
jeted001,2004,REG,NY ,A,154,721,643,111,188,303,44,1,23,78,16,2,23,4,46,1,14,99,19,S
jeted001,2005,REG,NY ,A,159,752,654,122,202,294,25,5,19,70,7,3,14,5,77,3,11,117,15,S
jeted001,2006,REG,NY ,A,154,715,623,118,214,301,39,3,14,97,7,4,34,5,69,4,12,102,13,S
jeted001,2007,REG,NY ,A,156,714,639,102,206,289,39,4,12,73,3,2,15,8,56,3,14,100,21,S
jeted001,2008,REG,NY ,A,150,668,596,88,179,243,25,3,11,69,7,4,11,5,52,0,9,85,24,S
jeted001,2009,REG,NY ,A,153,716,634,107,212,295,27,1,18,66,4,1,30,5,72,4,5,90,18,S
jeted001,2010,REG,NY ,A,157,739,663,111,179,245,30,3,10,67,1,3,18,5,63,4,9,106,22,S
jeted001,2011,REG,NY ,A,131,607,546,84,162,212,24,4,6,61,4,5,16,6,46,0,6,81,10,S
