TEAMID,YEAR,SCHOOL,PLAYERID,FIRST,LAST,YR,POS,G,GS,MIN,FGM,FGA,FTM,FTA,3PM,3PA,PTS,REB,OREB,DREB,PF,DQ,AST,TO,STL,BLK,DBLDBL,TRPDBL
7059,2008-09,Louisville,173clare01,Earl,Clark,JR,F,37,36,1269,202,442,90,139,31,95,525,322,102,220,71,1,119,119,38,51,,
7059,2008-09,Louisville,173willt01,Terrence,Williams,SR,F,37,36,1266,169,392,68,117,57,148,463,317,51,266,62,0,185,86,86,29,,
7059,2008-09,Louisville,173samus01,Samardo,Samuels,FR,F,37,37,929,163,282,110,165,0,1,436,181,94,87,111,3,35,79,22,49,,
7059,2008-09,Louisville,173smitj01,Jerry,Smith,JR,G,37,35,785,96,195,43,65,54,131,289,79,21,58,73,3,48,36,41,3,,
7059,2008-09,Louisville,173sosae01,Edgar,Sosa,JR,G,37,18,734,92,231,48,64,38,122,270,51,9,42,63,0,88,66,28,3,,
7059,2008-09,Louisville,173knowp01,Preston,Knowles,SO,G,37,4,620,84,192,10,19,48,111,226,76,29,47,56,1,36,25,35,3,,
7059,2008-09,Louisville,173mcgea01,Andre,McGee,SR,G,37,16,725,64,181,19,26,50,134,197,62,10,52,72,1,66,40,46,0,,
7059,2008-09,Louisville,173jennt01,Terrence,Jennings,FR,F,33,0,394,57,96,25,49,0,0,139,95,53,42,43,0,8,20,16,53,,
7059,2008-09,Louisville,999swopj01,Jared,Swopshire,FR,F,37,1,201,18,50,10,17,5,19,51,42,14,28,20,0,7,18,6,3,,
7059,2008-09,Louisville,999scotw01,Will,Scott,SR,G,21,0,96,15,39,5,7,10,31,45,8,2,6,11,0,8,0,4,0,,
7059,2008-09,Louisville,999delkr01,Reginald,Delk,JR,G,28,1,153,16,38,5,9,7,23,44,16,5,11,18,0,13,4,4,6,,
7059,2008-09,Louisville,999goodg01,George,Goode,FR,F,26,0,161,15,31,6,8,0,0,36,35,14,21,19,0,7,6,7,20,,
7059,2008-09,Louisville,173kurik01,Kyle,Kuric,FR,G,17,1,93,10,19,2,2,5,11,27,16,9,7,6,0,5,6,2,3,,
