year,code,player,date,team,opp,10s-g,a,20s-g,a,30s-g,a,40s-g,a,50s-g,a,tot-g,a,distances
2011,cundb001,"Cundiff, Billy",9/11/2011,Bal,Pit,,,1,1,1,1,,,,,2,2,"29,30"
2011,cundb001,"Cundiff, Billy",9/18/2011,Bal,Ten,,,1,1,,,1,1,,,2,2,"41,29"
2011,cundb001,"Cundiff, Billy",9/25/2011,Bal,SL,,,1,1,2,2,,,0,2,3,5,"51N,51N,21,31,38"
2011,cundb001,"Cundiff, Billy",10/2/2011,Bal,NYJ,,,,,2,2,,,,,2,2,"38,38"
2011,cundb001,"Cundiff, Billy",10/16/2011,Bal,Hou,,,1,1,1,1,3,3,,,5,5,"43,48,25,33,40"
2011,cundb001,"Cundiff, Billy",10/24/2011,Bal,Jax,,,,,,,,,0,1,0,1,52N
2011,cundb001,"Cundiff, Billy",10/30/2011,Bal,Arz,,,2,2,,,1,1,,,3,3,"26,47,25"
2011,cundb001,"Cundiff, Billy",11/6/2011,Bal,Pit,1,1,,,,,1,2,1,1,3,4,"18,40N,43,51"
2011,cundb001,"Cundiff, Billy",11/13/2011,Bal,Sea,,,,,1,1,,,0,2,1,3,"50N,52N,35"
2011,cundb001,"Cundiff, Billy",11/20/2011,Bal,Cin,,,1,1,,,,,,,1,1,22
2011,cundb001,"Cundiff, Billy",11/24/2011,Bal,SF,,,1,1,2,2,,,,,3,3,"39,23,39"
2011,cundb001,"Cundiff, Billy",12/4/2011,Bal,Cle,,,1,1,0,1,0,1,,,1,3,"34N,41N,21"
2011,cundb001,"Cundiff, Billy",12/11/2011,Bal,Ind,,,,,1,1,,,,,1,1,36
2011,cundb001,"Cundiff, Billy",12/18/2011,Bal,SD,,,,,0,1,,,,,0,1,36N
2011,cundb001,"Cundiff, Billy",1/1/2012,Bal,Cin,,,,,,,1,1,,,1,1,42
