code,"name",year,r/p,team,lg,no,g,gs,pos,pog,pogs,opp,game,date,pa,pc,gpy,ptd,pi,sack,sackyd,plng,rate,ra,ry,rtd,rlg,,ca,cy,ctd,clg,,rtd,ctd,otd,td,xpm,xpa,2xp,fgm,fga,saf,pts,,kor,kry,krtd,klg,,pr,fc,pry,prtd,prlg,,kpr,kpry,kprtd,,int,iry,irtd,irlg,,cma,cmy,,sack,,pt,ptyds,ptavg,ptlg,blk,,fum,rec,fmyds,fmtds
mannp003,"Manning, Peyton",1999,PS,Ind,AFC,18,,,,,,Ten,,01/16/00,42,19,227,0,0,0,0,33,,2,22,1,15,,,,,,,1,0,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,0,0,0,,,,,,,2,22,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2000,PS,Ind,AFC,18,,,,,,Mia,,12/30/00,32,17,194,1,0,0,0,30,,1,-2,0,-2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,1,-2,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2002,PS,Ind,AFC,18,,,,,,NYJ,,01/04/03,31,14,137,0,2,1,13,17,,1,2,0,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,1,2,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2003,PS,Ind,AFC,18,,,,,,Den,,01/04/04,26,22,377,5,0,0,0,87,,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,2,-2,,,,,,,,,,1,1,-2,0
mannp003,"Manning, Peyton",2003,PS,Ind,AFC,18,,,,,,KC,,01/11/04,30,22,304,3,0,1,12,38,,1,-1,0,-1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,1,-1,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2003,PS,Ind,AFC,18,,,,,,NE,AFC,01/18/04,47,23,237,1,4,4,29,32,,2,4,0,3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,2,4,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2004,PS,Ind,AFC,18,,,,,,Den,,01/09/05,33,27,458,4,1,1,4,49,,1,1,1,1,,,,,,,1,0,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,0,0,0,,,,,,,1,1,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2004,PS,Ind,AFC,18,,,,,,NE,,01/16/05,42,27,238,0,1,1,8,18,,1,7,0,7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,1,7,,,,,,,,,,1,0,0,0
mannp003,"Manning, Peyton",2005,PS,Ind,AFC,18,,,,,,Pit,,01/15/06,38,22,290,1,0,5,43,50,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2006,PS,Ind,AFC,18,,,,,,KC,,01/06/07,38,30,268,1,3,1,5,42,,2,-2,0,-1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,2,-2,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2006,PS,Ind,AFC,18,,,,,,Bal,,01/13/07,30,15,170,0,2,1,9,27,,3,5,0,7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,3,5,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2006,PS,Ind,AFC,18,,,,,,NE,AFC,01/21/07,47,27,349,1,1,3,19,52,,2,0,1,1,,,,,,,1,0,0,1,,,,,,,6,,,,,,,,,,,,,0,0,0,,,,,,,2,0,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2006,PS,Ind,AFC,18,,,,,,Chi,SB41,02/04/07,38,25,247,1,1,1,8,53,,1,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,1,-7,,,,,,,,,,1,0,-7,0
mannp003,"Manning, Peyton",2007,PS,Ind,AFC,18,,,,,,SD,,01/13/08,48,33,402,3,2,0,0,55,,1,-6,0,-6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,1,-6,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2008,PS,Ind,AFC,18,,,,,,SD,,01/03/09,42,25,310,1,0,1,8,72,,1,-1,0,-1,,,,,,,0,0,0,0,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,1,-1,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2009,PS,Ind,AFC,18,,,,,,Bal,,01/16/10,44,30,246,2,1,2,13,20,,2,-2,0,-1,,,,,,,0,0,0,0,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,2,-2,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2009,PS,Ind,AFC,18,,,,,,NYJ,AFC,01/24/10,39,26,377,3,0,2,17,46,,1,0,0,0,,,,,,,0,0,0,0,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,1,0,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2009,PS,Ind,AFC,18,,,,,,NO,SB44,02/07/10,45,31,333,1,1,0,0,40,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,,,,
mannp003,"Manning, Peyton",2010,PS,Ind,AFC,18,,,,,,NYJ,,01/08/11,26,18,225,1,0,1,6,57,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,,,,

