code,name,year,date,team,opp,loc,t,a
trotj001,J.Trotter,2001,20020119,Phi,Chi,Chi,10,1
dawkb001,B.Dawkins,2001,20020119,Phi,Chi,Chi,5,0
emmoc001,C.Emmons,2001,20020119,Phi,Chi,Chi,4,0
caldm001,M.Caldwell,2001,20020119,Phi,Chi,Chi,3,1
whitb010,B.Whiting,2001,20020119,Phi,Chi,Chi,3,0
burgd001,D.Burgess,2001,20020119,Phi,Chi,Chi,2,0
dough001,H.Douglas,2001,20020119,Phi,Chi,Chi,2,0
simoc001,C.Simon,2001,20020119,Phi,Chi,Chi,1,1
cookr001,R.Cook,2001,20020119,Phi,Chi,Chi,1,0
grasp001,P.Grasmanis,2001,20020119,Phi,Chi,Chi,1,0
harra002,A.Harris,2001,20020119,Phi,Chi,Chi,1,0
taylb004,B.Taylor,2001,20020119,Phi,Chi,Chi,1,0
