yr,tm,g,w,opp,loc,date,day,for,agst,ot,own-q1,q2,q3,q4,ot,opp-q1,q2,q3,q4,ot,own-1d,ra,ry,rtd,npy,sk,sky,pa,pc,ptd,pi,kr,kry,krtd,pr,pry,prtd,int,iry,irtd,pt,pty,blk,otd,fgm,fga,xpm,xpa,2pm,2pa,saf,fum,fml,pen,pny,opp-1d,ra,ry,rtd,npy,sk,sky,pa,pc,ptd,pi,kr,kry,krtd,pr,pry,prtd,int,iry,irtd,pt,pty,blk,otd,fgm,fga,xpm,xpa,2pm,2pa,saf,fum,fml,pen,pny
2011,Cin,1,p,Hou,Hou,010712,Sat,10,31,,7,3,0,0,,7,10,7,7,,21,19,76,1,224,4,33,42,27,0,3,1,22,0,3,20,0,0,0,0,3,145,0,0,1,2,1,1,0,0,0,1,0,3,25,19,35,188,2,152,2,7,20,11,1,0,0,0,0,3,12,0,3,28,1,5,251,0,1,1,1,4,4,0,0,0,0,0,5,87
2011,Hou,1,p,Cin,Hou,010712,Sat,31,10,,7,10,7,7,,7,3,0,0,,19,35,188,2,152,2,7,20,11,1,0,0,0,0,3,12,0,3,28,1,5,251,0,1,1,1,4,4,0,0,0,0,0,5,87,21,19,76,1,224,4,33,42,27,0,3,1,22,0,3,20,0,0,0,0,3,145,0,0,1,2,1,1,0,0,0,1,0,3,25
2011,Hou,2,p,Bal,Bal,011512,Sun,13,20,,3,10,0,0,,17,0,0,3,,16,28,131,1,184,0,0,35,17,0,3,4,133,0,6,4,0,0,0,0,5,200,0,0,2,3,1,1,0,0,0,3,1,3,20,11,31,87,0,140,5,36,27,14,2,0,1,25,0,0,0,0,3,1,0,9,444,0,0,2,2,2,2,0,0,0,3,0,0,0
2011,Det,1,p,NO,NO,010712,Sat,28,45,,7,7,7,7,,0,10,14,21,,22,10,32,1,380,0,0,43,28,3,2,2,41,0,0,0,0,0,0,0,3,127,0,0,0,0,4,4,0,0,0,0,0,7,64,34,36,167,3,459,2,7,43,33,3,0,2,54,0,2,4,0,2,17,0,0,0,0,0,1,1,6,6,0,0,0,2,2,3,18
2011,NO,1,p,Det,NO,010712,Sat,45,28,,0,10,14,21,,7,7,7,7,,34,36,167,3,459,2,7,43,33,3,0,2,54,0,2,4,0,2,17,0,0,0,0,0,1,1,6,6,0,0,0,2,2,3,18,22,10,32,1,380,0,0,43,28,3,2,2,41,0,0,0,0,0,0,0,3,127,0,0,0,0,4,4,0,0,0,0,0,7,64
2011,NO,2,p,SF,SF,011412,Sat,32,36,,0,14,0,18,,14,3,3,16,,26,14,37,0,435,3,27,63,40,4,2,5,59,0,3,29,0,0,0,0,5,227,0,0,1,1,3,3,1,1,0,3,3,0,0,17,22,143,1,264,4,35,42,24,3,0,2,45,0,3,29,0,2,41,0,8,396,0,0,3,3,3,3,0,1,0,3,1,3,33
2011,Atl,1,p,NYG,NYG,010812,Sun,2,24,,0,2,0,0,,0,7,10,7,,14,21,64,0,183,2,16,41,24,0,0,4,98,0,0,0,0,0,0,0,7,322,0,0,0,0,0,0,0,0,1,0,0,3,15,19,31,172,0,270,1,7,32,23,3,0,1,27,0,5,28,0,0,0,0,4,183,0,0,1,2,3,3,0,0,0,0,0,7,73
2011,NYG,1,p,Atl,NYG,010812,Sun,24,2,,0,7,10,7,,0,2,0,0,,19,31,172,0,270,1,7,32,23,3,0,1,27,0,5,28,0,0,0,0,4,183,0,0,1,2,3,3,0,0,0,0,0,7,73,14,21,64,0,183,2,16,41,24,0,0,4,98,0,0,0,0,0,0,0,7,322,0,0,0,0,0,0,0,0,1,0,0,3,15
2011,NYG,2,p,GB,GB,011512,Sun,37,20,,10,10,0,17,,3,7,3,7,,19,27,95,1,325,1,5,33,21,3,1,1,4,0,0,0,0,1,0,0,2,96,0,0,3,4,4,4,0,0,0,0,0,3,30,25,23,147,0,241,4,23,46,26,2,1,4,94,0,1,16,0,1,12,0,2,79,0,0,2,2,2,2,0,0,0,3,3,3,20
2011,NYG,3,p,SF,SF,012212,Sun,20,17,,0,10,0,7,3,7,0,7,3,0,20,26,85,0,267,6,49,58,32,2,0,1,17,0,6,55,0,0,0,0,12,557,0,0,2,2,2,2,0,0,0,1,0,9,60,15,28,150,0,178,3,18,26,12,2,0,4,100,0,8,70,0,0,0,0,10,455,0,0,1,1,2,2,0,0,0,4,2,6,50
2011,NYG,4,p,NE,NE,020512,Sun,21,17,,9,0,6,6,,0,10,7,0,,26,28,114,1,282,3,14,40,30,1,0,4,75,0,1,10,0,1,0,0,4,163,0,0,2,2,1,1,0,1,1,2,0,4,24,21,19,83,0,266,2,10,41,27,2,1,3,73,0,0,0,0,0,0,0,3,123,0,0,1,1,2,2,0,0,0,0,0,5,28
2011,Pit,1,p,Den,Den,010812,Sun,23,29,,6,0,7,10,0,0,20,0,3,6,21,23,156,1,244,5,45,40,22,1,1,0,0,0,0,0,0,0,0,0,4,184,0,0,3,3,2,2,0,0,0,2,0,6,61,18,34,131,1,316,0,0,21,10,2,0,1,19,0,3,27,0,1,9,0,4,164,0,0,3,3,2,2,0,1,0,2,1,5,30
2011,Den,1,p,Pit,Den,010812,Sun,29,23,,0,20,0,3,6,6,0,7,10,0,18,34,131,1,316,0,0,21,10,2,0,1,19,0,3,27,0,1,9,0,4,164,0,0,3,3,2,2,0,1,0,2,1,5,30,21,23,156,1,244,5,45,40,22,1,1,0,0,0,0,0,0,0,0,0,4,184,0,0,3,3,2,2,0,0,0,2,0,6,61
2011,Den,2,p,NE,NE,011412,Sat,10,45,,0,7,3,0,,14,21,7,3,,15,40,144,1,108,5,28,26,9,0,0,4,68,0,0,0,0,1,17,0,7,272,0,0,1,1,1,1,0,0,0,2,1,5,55,31,30,146,0,363,0,0,34,26,6,1,1,28,0,2,28,0,0,0,0,3,126,0,0,1,1,6,6,0,0,0,1,1,2,20
2011,NE,1,p,Den,NE,011412,Sat,45,10,,14,21,7,3,,0,7,3,0,,31,30,146,0,363,0,0,34,26,6,1,1,28,0,2,28,0,0,0,0,3,126,0,0,1,1,6,6,0,0,0,1,1,2,20,15,40,144,1,108,5,28,26,9,0,0,4,68,0,0,0,0,1,17,0,7,272,0,0,1,1,1,1,0,0,0,2,1,5,55
2011,NE,2,p,Bal,NE,012212,Sun,23,20,,3,10,3,7,,0,10,10,0,,25,31,96,2,234,1,5,36,22,0,2,3,101,0,3,7,0,1,19,0,2,97,0,0,3,3,2,2,0,0,0,2,1,1,5,19,31,116,0,282,3,24,36,22,2,1,1,20,0,1,4,0,2,39,0,4,175,0,0,2,3,2,2,0,0,0,1,0,6,33
2011,NE,3,p,NYG,NE,020512,Sun,17,21,,0,10,7,0,,9,0,6,6,,21,19,83,0,266,2,10,41,27,2,1,3,73,0,0,0,0,0,0,0,3,123,0,0,1,1,2,2,0,0,0,0,0,5,28,26,28,114,1,282,3,14,40,30,1,0,4,75,0,1,10,0,1,0,0,4,163,0,0,2,2,1,1,0,1,1,2,0,4,24
2011,SF,1,p,NO,SF,011412,Sat,36,32,,14,3,3,16,,0,14,0,18,,17,22,143,1,264,4,35,42,24,3,0,2,45,0,3,29,0,2,41,0,8,396,0,0,3,3,3,3,0,1,0,3,1,3,33,26,14,37,0,435,3,27,63,40,4,2,5,59,0,3,29,0,0,0,0,5,227,0,0,1,1,3,3,1,1,0,3,3,0,0
2011,SF,2,p,NYG,SF,012212,Sun,17,20,,7,0,7,3,0,0,10,0,7,3,15,28,150,0,178,3,18,26,12,2,0,4,100,0,8,70,0,0,0,0,10,455,0,0,1,1,2,2,0,0,0,4,2,6,50,20,26,85,0,267,6,49,58,32,2,0,1,17,0,6,55,0,0,0,0,12,557,0,0,2,2,2,2,0,0,0,1,0,9,60
2011,Bal,1,p,Hou,Bal,011512,Sun,20,13,,17,0,0,3,,3,10,0,0,,11,31,87,0,140,5,36,27,14,2,0,1,25,0,0,0,0,3,1,0,9,444,0,0,2,2,2,2,0,0,0,3,0,0,0,16,28,131,1,184,0,0,35,17,0,3,4,133,0,6,4,0,0,0,0,5,200,0,0,2,3,1,1,0,0,0,3,1,3,20
