yr,tm,g,w,opp,loc,date,day,for,agst,ot,own-q1,q2,q3,q4,qo,opp-q1,q2,q3,q4,qo,own-1d,ra,ry,rtd,npy,sk,sky,pa,pc,ptd,pi,kr,kry,krtd,pr,pry,prtd,int,iry,irtd,pt,pty,blk,otd,fgm,fga,xpm,xpa,2pm,2pa,saf,fum,fml,pen,pny,opp-1d,ra,ry,rtd,npy,sk,sky,pa,pc,ptd,pi,kr,kry,krtd,pr,pry,prtd,int,iry,irtd,pt,pty,blk,otd,fgm,fga,xpm,xpa,2pm,2pa,saf,fum,fml,pen,pny
2011,Den,2,2,Cin,Den,091811,Sun,24,22,,7,3,7,7,,0,3,12,7,,19,36,131,1,187,2,8,25,15,2,0,1,23,0,0,0,0,0,0,0,6,335,0,0,1,1,3,3,0,0,0,2,2,7,55,18,20,72,0,310,2,22,41,27,2,0,0,0,0,0,0,0,0,0,0,5,205,0,0,3,3,1,1,0,1,0,0,0,7,69
2011,Den,3,3,Ten,Ten,092511,Sun,14,17,,7,0,7,0,,0,10,0,7,,19,23,59,0,172,1,1,39,24,2,2,1,19,0,0,0,0,0,0,0,5,246,0,0,0,0,2,2,0,0,0,0,0,1,15,17,23,38,0,295,2,16,36,27,2,0,0,0,0,0,0,0,0,0,0,4,176,0,0,1,1,2,2,0,0,0,3,2,11,80
2011,Den,4,4,GB,GB,100211,Sun,23,49,,3,14,0,6,,14,14,14,7,,18,23,119,0,265,1,8,32,22,3,3,5,146,0,0,0,0,0,0,0,2,98,0,0,1,1,2,2,0,1,0,1,1,3,24,26,28,111,2,396,2,12,39,29,4,2,2,59,0,0,0,0,0,0,0,1,49,0,1,0,0,7,7,0,0,0,0,0,3,27
2011,Den,5,5,SD,Den,100911,Sun,24,29,,7,3,0,14,,6,17,0,6,,13,23,162,1,113,0,0,23,10,1,1,1,28,0,0,0,0,0,0,0,6,322,0,1,1,1,1,1,1,2,0,0,0,4,53,25,43,206,1,212,5,38,29,18,1,1,0,0,0,0,0,0,0,0,0,3,147,0,0,5,5,2,2,0,0,0,2,1,0,0
2011,Den,6,7,Mia,Mia,102311,Sun,18,15,,0,0,0,15,3,0,6,0,9,0,18,40,177,0,131,6,30,27,13,2,0,0,0,0,0,0,0,0,0,0,9,435,0,0,1,3,1,1,1,1,0,2,1,5,30,15,31,94,0,173,4,24,33,22,1,0,0,0,0,0,0,0,0,0,0,8,397,0,0,3,3,0,0,0,1,0,2,1,2,20
2011,Den,7,8,Det,Den,103011,Sun,10,45,,3,0,0,7,,7,17,14,7,,19,30,195,0,117,7,55,39,18,1,1,2,47,0,0,0,0,0,0,0,7,353,0,0,1,1,1,1,0,0,0,5,2,5,55,21,28,113,1,263,2,9,32,22,3,0,0,0,0,0,0,0,0,0,0,7,284,0,2,1,1,6,6,0,0,0,0,0,4,45
2011,Den,8,9,Oak,Oak,110611,Sun,38,24,,7,0,17,14,,3,14,7,0,,20,39,299,2,113,1,11,22,10,2,0,4,95,0,0,0,0,0,0,0,5,238,0,1,1,2,5,5,0,0,0,0,0,11,93,21,26,100,0,316,2,16,35,19,3,3,3,59,0,0,0,0,0,0,0,6,303,0,0,1,1,3,3,0,0,0,2,0,15,130
2011,Den,9,10,KC,KC,111311,Sun,17,10,,7,3,0,7,,0,0,7,3,,16,55,244,1,69,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,7,307,0,0,1,2,2,2,0,0,0,0,0,8,65,17,24,134,0,124,4,16,34,18,1,0,3,53,0,0,0,0,0,0,0,7,339,0,0,1,1,1,1,0,0,0,1,0,4,40
2011,Den,10,11,NYJ,Den,111711,Thu,17,13,,3,0,7,7,,0,3,7,3,,11,34,125,1,104,1,0,21,9,0,0,3,99,0,0,0,0,0,0,0,8,350,0,1,1,1,2,2,0,0,0,1,1,6,51,22,28,83,0,235,3,17,40,24,0,1,2,62,0,0,0,0,0,0,0,6,230,0,1,2,4,1,1,0,0,0,3,1,2,15
2011,Den,11,12,SD,SD,112711,Sun,16,13,,0,7,3,3,3,3,7,3,0,0,18,51,208,0,141,1,2,18,9,1,0,4,106,0,0,0,0,0,0,0,9,391,0,0,3,3,1,1,0,0,0,2,0,9,63,20,36,185,0,159,3,29,36,19,1,0,1,21,0,0,0,0,0,0,0,6,308,0,0,2,4,1,1,0,0,0,0,0,4,30
