year,type,tm,lg,dv,w,l,t,pts,opp,1dr,1dp,1dpn,ra,ry,rtd,pa,pc,gpy,sk,sky,ptd,pi,pnt,pavg,pr,pry,prtd,kr,kry,krtd,ir,iry,irtd,pn,pny,fm,fl,xpa,xpm,fga,fgm,saf,2pa,2pm,3dm,3da,4dm,4da,posm,poss,1dr,1dp,1dpn,ra,ry,rtd,pa,pc,gpy,sk,sky,ptd,pi,pnt,pavg,pr,pry,prtd,kr,kry,krtd,ir,iry,irtd,pn,pny,fm,fl,xpa,xpm,fga,fgm,saf,2pa,2pm,3dm,3da,4dm,4da,posm,poss,blkpto,blkptd
2011,REG,Arz,NFC,W,8,8,0,312,348,83,175,28,389,1625,12,550,307,3954,54,387,21,23,92,45.0,46,696,4,52,1246,0,10,117,0,106,1004,24,9,33,33,24,19,0,2,0,66,205,9,15,28,11,118,174,41,475,1986,15,578,340,4000,42,304,17,10,92,44.4,50,610,1,52,1300,0,23,296,1,122,950,15,9,33,33,48,35,2,1,0,71,226,4,8,31,49,0,0
2011,REG,Atl,NFC,S,10,6,0,402,350,100,215,34,453,1834,14,594,365,4365,26,173,29,13,71,42.1,33,315,0,24,563,0,19,301,2,93,769,12,8,45,45,29,27,0,1,0,99,224,4,13,32,5,87,186,19,372,1552,10,560,340,4017,33,231,25,19,75,46.1,31,150,0,60,1487,0,13,178,2,101,843,19,10,37,37,28,23,1,3,1,93,211,6,11,27,55,1,0
2011,REG,Bal,AFC,N,12,4,0,378,266,98,181,33,459,1996,15,544,314,3629,33,206,21,12,73,46.5,36,345,1,42,1047,0,15,175,1,92,742,24,12,40,40,39,30,0,1,1,97,229,4,7,30,35,79,166,24,419,1482,10,535,288,3430,48,290,11,15,86,43.6,33,392,2,36,1050,1,12,159,1,103,1032,27,11,26,26,31,28,0,0,0,71,221,10,21,29,25,0,0
2011,REG,Buf,AFC,E,6,10,0,372,434,100,180,33,391,1921,12,578,356,3857,23,154,24,25,73,47.6,26,329,1,37,853,0,20,341,4,86,743,16,5,41,41,31,23,1,2,1,62,191,9,22,30,11,120,196,24,467,2224,19,507,321,3924,29,210,30,20,68,44.7,43,494,0,56,1144,0,25,327,3,85,871,21,11,52,51,25,21,0,1,1,75,189,9,13,29,49,1,0
2011,REG,Car,NFC,S,6,10,0,406,429,139,175,31,445,2408,26,519,312,4089,35,260,21,17,66,42.7,32,176,0,39,926,1,14,197,0,113,1013,13,6,45,44,28,22,2,3,2,75,185,6,10,30,16,110,191,28,451,2093,18,490,318,4119,31,170,28,14,52,43.2,35,466,3,30,811,0,17,229,1,98,901,20,10,48,48,31,27,0,2,0,83,194,4,12,29,44,0,0
2011,REG,Chi,NFC,N,8,8,0,353,341,97,153,21,456,2015,10,473,268,3346,49,335,18,20,89,43.9,30,470,2,57,1238,1,20,177,4,104,800,26,9,37,37,32,28,1,1,1,66,203,2,8,30,13,75,199,17,384,1542,10,631,383,4273,33,208,22,20,85,42.7,41,223,0,35,855,0,20,380,3,98,719,23,11,33,33,36,30,1,3,0,80,229,7,17,29,47,0,0
2011,REG,Cin,AFC,N,9,7,0,344,323,93,160,32,455,1778,10,535,308,3507,25,167,21,14,91,44.2,53,610,1,45,1026,0,10,137,1,99,874,17,8,34,33,38,33,1,1,0,80,219,4,10,30,19,94,170,20,425,1675,14,539,319,3662,45,277,21,10,98,46.6,38,273,1,44,916,0,14,159,1,101,878,26,12,35,35,27,22,0,2,0,78,220,4,11,29,41,0,0
2011,REG,Cle,AFC,N,4,12,0,218,307,77,173,28,415,1531,4,570,320,3300,39,210,16,13,89,40.1,38,423,1,48,1134,0,9,93,0,95,847,22,6,20,20,29,24,0,1,0,92,238,10,18,29,7,124,149,28,534,2359,12,469,265,3158,32,199,16,9,76,46.1,26,303,1,46,1055,1,13,241,1,90,726,20,11,31,31,34,30,0,0,0,95,230,6,14,30,53,0,0
2011,REG,Dal,NFC,E,8,8,0,369,347,91,219,17,408,1807,5,570,376,4453,39,252,33,12,71,42.9,41,293,0,33,768,0,15,217,1,114,816,24,9,39,39,37,32,0,0,0,78,198,5,10,30,55,78,199,28,385,1585,10,545,336,4149,42,243,24,15,72,47.5,30,278,0,52,1114,0,12,158,2,85,650,20,10,35,35,33,26,1,2,2,81,204,4,11,29,5,1,0
2011,REG,Den,AFC,W,8,8,0,309,390,129,130,27,546,2632,11,429,217,2708,42,274,20,13,101,47.4,47,596,2,39,956,0,9,152,3,101,842,30,17,30,30,25,19,0,6,3,66,214,3,13,28,51,101,182,32,488,2021,11,534,333,3987,41,283,24,9,92,47.3,51,585,1,20,491,0,13,276,3,99,845,19,9,40,40,39,32,1,2,0,73,218,3,9,31,9,0,0
