code,name,year,no,date,team,opp,loc,tw/l,gw/l,ga,sa,sho,pim,min,even,ppga,shga,eng
brodm001,Martin Brodeur,1991-92,1,19920427,NJ,NYR,NJ,L,L,3,15,0,0,32:04,,,,0
brodm001,Martin Brodeur,1993-94,1,19940417,NJ,Buf,Buf,L,L,1,22,0,0,59:43,,,,1
brodm001,Martin Brodeur,1993-94,2,19940419,NJ,Buf,Buf,W,W,1,24,0,0,59:55,,,,0
brodm001,Martin Brodeur,1993-94,3,19940421,NJ,Buf,Buf,W,W,1,30,0,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,4,19940423,NJ,Buf,Buf,L,L,5,30,0,0,59:36,,,,0
brodm001,Martin Brodeur,1993-94,5,19940425,NJ,Buf,Buf,W,W,3,20,0,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,6,19940427,NJ,Buf,Buf,L,L,1,50,0,0,125:43,,,,0
brodm001,Martin Brodeur,1993-94,7,19940429,NJ,Buf,Buf,W,W,1,18,0,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,8,19940501,NJ,Bos,Bos,L,L,2,29,0,0,59:05,,,,0
brodm001,Martin Brodeur,1993-94,9,19940503,NJ,Bos,Bos,L,L,6,27,0,0,68:41,,,,0
brodm001,Martin Brodeur,1993-94,10,19940509,NJ,Bos,Bos,W,W,0,22,1,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,11,19940515,NJ,NYR,NYR,W,W,3,38,0,0,95:08,,,,0
brodm001,Martin Brodeur,1993-94,12,19940517,NJ,NYR,NYR,L,L,4,40,0,0,54:29,,,,0
brodm001,Martin Brodeur,1993-94,13,19940519,NJ,NYR,NYR,L,L,3,50,0,0,86:13,,,,0
brodm001,Martin Brodeur,1993-94,14,19940521,NJ,NYR,NYR,W,W,1,22,0,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,15,19940523,NJ,NYR,NYR,W,W,1,26,0,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,16,19940525,NJ,NYR,NYR,L,L,3,35,0,0,58:44,,,,1
brodm001,Martin Brodeur,1993-94,17,19940527,NJ,NYR,NYR,L,L,2,48,0,0,83:23,,,,0
