code,year,tm,seq,lg,gp,min,w,l,t/ol,eng,sho,ga,sa,po-gp,min,w,l,t/ol,eng,sho,ga,sa
brodm001,91-92,NJ,1,NHL,4,179,2,1,0,0,0,10,85,1,32,0,1,,0,0,3,15
brodm001,93-94,NJ,1,NHL,47,2625,27,11,8,0,3,105,1238,17,1171,8,9,,2,1,38,531
brodm001,94-95,NJ,1,NHL,40,2184,19,11,6,1,3,89,908,20,1222,16,4,,0,3,34,463
brodm001,95-96,NJ,1,NHL,77,4433,34,30,12,8,6,173,1954,,,,,,,,,
brodm001,96-97,NJ,1,NHL,67,3838,37,14,13,5,10,120,1633,10,659,5,5,,2,2,19,268
brodm001,97-98,NJ,1,NHL,70,4128,43,17,8,4,10,130,1569,6,366,2,4,,1,0,12,164
brodm001,98-99,NJ,1,NHL,70,4239,39,21,10,4,4,162,1728,7,425,3,4,,1,0,20,139
brodm001,99-00,NJ,1,NHL,72,4312,43,20,8,3,6,161,1797,23,1450,16,7,,0,2,39,537
brodm001,00-01,NJ,1,NHL,72,4297,42,17,11,2,9,166,1762,25,1505,15,10,,0,4,52,507
brodm001,01-02,NJ,1,NHL,73,4347,38,26,9,5,4,156,1655,6,381,2,4,,0,1,9,145
brodm001,02-03,NJ,1,NHL,73,4374,41,23,9,4,9,147,1706,24,1491,16,8,,0,7,41,622
brodm001,03-04,NJ,1,NHL,75,4555,38,26,11,4,11,154,1845,5,298,1,4,,1,0,13,133
brodm001,05-06,NJ,1,NHL,73,4365,43,23,7,2,5,187,2105,9,533,5,4,,1,1,20,261
brodm001,06-07,NJ,1,NHL,78,4697,48,23,7,5,12,171,2182,11,688,5,6,,1,1,28,332
brodm001,07-08,NJ,1,NHL,77,4635,44,27,6,8,4,168,2089,5,301,1,4,,3,0,16,147
brodm001,08-09,NJ,1,NHL,31,1814,19,9,3,2,5,73,870,7,427,3,4,,0,1,17,239
brodm001,09-10,NJ,1,NHL,77,4499,45,25,6,1,9,168,2004,5,299,1,4,,0,0,15,126
brodm001,10-11,NJ,1,NHL,56,3116,23,26,3,5,6,127,1313,,,,,,,,,
brodm001,11-12,NJ,1,NHL,59,3392,31,21,4,7,3,136,1472,24,1471,14,9,,5,1,52,629
