code,use,last,first,middle(s),last,suffix,nick,note,pos,hf,hi,wt,s/c,bm,bd,by,tob,sob,cob,dm,dd,dy,tod,sod,cod
aalta001,Antti,Aalto,Antti,,Aalto,,,,C,6,1,210,L,3,4,1975,Lappeenranta,,Finland,,,,,,
abbeb001,Bruce,Abbey,Bruce,,Abbey,,,,D,6,1,185,L,8,18,1951,Toronto,ON,Canada,,,,,,
abbog001,George,Abbott,George,Henry,Abbott,,Preacher,,G,5,7,153,L,8,3,1911,Synenham,ON,Canada,,,,,,
abbor001,Reg,Abbott,Reginald,Stewart,Abbott,,,,C,5,11,164,L,2,4,1930,Winnipeg,MB,Canada,,,,,,
abdej001,Justin,Abdelkader,,,,,,,L,6,1,195,L,2,25,1987,Muskegon,MI,USA,,,,,,
abelc001,Clarence,Abel,Clarence,John,Abel,,Taffy,,D,6,1,225,L,5,28,1900,Sault Ste. Marie,MI,USA,8,1,1964,Sault Ste. Marie,MI,USA
abelg001,Gerry,Abel,Gerald,Scott,Abel,,,,L,6,2,168,L,12,25,1944,Detroit,MI,USA,,,,,,
abels001,Sid,Abel,Sidney,Gerald,Abel,,Boot Nose,,C,5,11,170,L,2,22,1918,Melville,SK,Canada,2,7,2000,Farmington,MI,USA
abgrd001,Dennis,Abgrall,Dennis,Harvey,Abgrall,,,,R,6,1,180,R,4,24,1953,Mooseomin,SK,Canada,,,,,,
abidr001,Ramzi,Abid,,,,,,,L,6,2,210,L,3,24,1980,Montreal,QC,Canada,,,,,,
abrac001,Christer,Abrahamsson,Christer,,Abrahamsson,,,,G,6,0,180,L,4,8,1947,Umea,,Sweden,,,,,,
abrat001,Thommy,Abrahamsson,Thommy,Ulf,Abrahamsson,,,,D,6,2,185,L,4,12,1947,Leksand,,Sweden,,,,,,
achtg001,Gene,Achtymichuk,Eugene,Edward,Achtymichuk,,Acky,,C,5,11,170,L,9,7,1932,Lamont,AB,Canada,,,,,,
acomd001,Doug,Acomb,Douglas,Raymond,Acomb,,,,C,5,11,165,L,5,15,1949,Toronto,ON,Canada,,,,,,
actok001,Keith,Acton,Keith,Edward,Acton,,Woody,,C,5,8,170,L,4,15,1958,Stouffville,ON,Canada,,,,,,
adaij001,Jim,Adair,James,Albert John,Adair,,,,C,5,11,180,L,9,29,1948,Brockville,ON,Canada,,,,,,
adamd001,Douglas,Adam,Douglas,Patrick,Adam,,,,L,5,11,165,L,9,7,1923,Toronto,ON,Canada,12,24,2001,,,
adamp001,Petr,Adamik,,,,,,,,,,,,,,,,,,,,,,,
adaml001,Luke,Adam,,,,,,,L,6,2,203,,6,18,1990,St. John's,NL,Canada,,,,,,
adamr001,Russ,Adam,Russell,Norman,Adam,,,,C,5,10,185,L,5,5,1961,Windsor,ON,Canada,,,,,,
adamb002,Bryan,Adams,Bryan,,Adams,,,,L,6,0,185,L,3,20,1977,Fort St. James,BC,Canada,,,,,,
adamc001,Craig,Adams,,,,,,,R,6,0,200,R,4,26,1977,Seria,,Brunei Darussalam,,,,,,
adamg001,Greg,Adams,Gregory,Charles,Adams,,Eddie,,L,6,1,190,L,5,31,1960,Duncan,BC,Canada,,,,,,
adamg002,Greg,Adams,Gregory,Daren,Adams,,Gus/Hawk,,L,6,3,195,L,8,15,1963,Nelson,BC,Canada,,,,,,
adamj001,Jack,Adams,John,James,Adams,,Jolly Jack,,C,5,9,175,R,6,14,1895,Fort William,ON,Canada,5,1,1968,,,
adamj002,John,Adams,John,Ellis,Adams,,Jack,,L,5,10,163,L,5,5,1920,Calgary,AB,Canada,,,,,,
adamj003,John,Adams,John,Matthew,Adams,,,,G,6,0,200,L,7,27,1946,Port Arthur,ON,Canada,,,,,,
adamk001,Kevyn,Adams,Kevyn,W.,Adams,,,,C,6,1,200,R,10,8,1974,Washington,DC,USA,,,,,,
adams001,Stew,Adams,Stewart,Alexander,Adams,,,,L,5,10,165,L,10,16,1904,Calgary,AB,Canada,5,18,1978,Calgary,AB,Canada
addur001,Ray,Adduono,Raymond,Peter,Adduono,,,,C,5,9,160,L,1,21,1947,Fort William,ON,Canada,,,,,,
addur002,Rick,Adduono,Rick,Norman,Adduono,,,,C,5,11,182,L,1,25,1955,Fort William,ON,Canada,,,,,,
aebid001,David,Aebischer,,,,,,,G,6,1,185,L,2,7,1978,Fribourg,,Switzerland,,,,,,
afand001,Dmitry,Afanasenkov,,,,,,,L,6,2,209,R,5,12,1980,Arkhangelsk,,Russia,,,,,,
afflb001,Bruce,Affleck,Bruce,Robert,Affleck,,Scratch,,D,6,0,205,L,5,5,1954,Penticton,BC,Canada,,,,,,
afinm001,Maxim,Afinogenov,Maxim,Sergeyevich,Afinogenov,,,,R,6,0,191,L,9,4,1979,Moscow,,Russia,,,,,,
agnej001,Jim,Agnew,James,,Agnew,,,,D,6,1,190,L,3,21,1966,Deloraine,MB,Canada,,,,,,
aheak001,Kevin,Ahearn,Kevin,Joseph,Ahearn,,,,L,5,10,160,L,6,20,1948,Milton,MA,USA,,,,,,
aherf001,Fred,Ahern,Frederick,Vincent,Ahern,Jr.,,,R,6,0,180,R,2,12,1952,South Boston,MA,USA,,,,,,
ahlir001,Rudy,Ahlin,Anthony,Rudolph,Ahlin,,Tony,,L,5,11,176,L,12,13,1908,Eveleth,MN,USA,5,6,1976,,,
ahoks001,Seppo,Ahokainen,,,,,,,,,,,,,,,,,,,,,,,
aholp001,Peter,Ahola,Peter,Kristian,Ahola,,,,D,6,3,205,L,5,14,1968,Espoo,,Finland,,,,,,
ahrec001,Chris,Ahrens,Christopher,Alfred,Ahrens,,,,D,6,0,185,R,7,31,1952,San Bernardino,CA,USA,,,,,,
aiked001,Don,Aiken,Donald,John Judson,Aiken,,,,G,5,11,165,L,1,1,1932,Arlington,MA,USA,,,,,,
ailsl001,Lloyd,Ailsby,Harold,Lloyd,Ailsby,,,,D,5,11,194,L,5,11,1917,Lac Pellitier,SK,Canada,5,8,2007,Swift Current,SK,Canada
aitka001,Andy,Aitkenhead,Andrew,,Aitkenhead,,The Glasgow Gobbler,,G,5,9,145,L,3,6,1904,Glasgow,,Scotland,,,1968,,,
aitkb001,Brad,Aitken,Bradley,E.,Aitken,,,,L,6,2,200,L,10,30,1967,Scarborough,ON,Canada,,,,,,
aitkj001,Johnathan,Aitken,Johnathan,James,Aitken,,,,D,6,4,230,L,5,24,1978,Edmonton,AB,Canada,,,,,,
aivam001,Micah,Aivazoff,Micah,,Aivazoff,,,,C,6,0,195,L,5,4,1969,Powell River,BC,Canada,,,,,,
alatm001,Mika,Alatalo,Mika,Antero,Alatalo,,,,L,6,0,202,L,6,11,1971,Oulu,,Finland,,,,,,
albet001,Tommy,Albelin,Tommy,,Albelin,,,,D,6,2,195,L,5,21,1964,Stockholm,,Sweden,,,,,,
albea001,Andrew,Alberts,Andrew,James,Alberts,,Albie,,D,6,4,216,L,6,30,1981,Minneapolis,MN,USA,,,,,,
albrc001,Clint,Albright,Clinton,Howard,Albright,,The Professor,,C,6,2,180,L,2,28,1926,Winnipeg,MB,Canada,12,30,1999,,,
aldcg001,Gary,Aldcorn,Gary,William,Aldcorn,,,,L,5,11,170,L,3,7,1935,Shaunavon,SK,Canada,,,,,,
aldrk001,Keith,Aldridge,Keith,,Aldridge,,,,D,5,11,185,R,7,20,1973,Detroit,MI,USA,,,,,,
alexa001,Art,Alexandre,Arthur,,Alexandre,,,,L,5,5,150,R,3,2,1909,St. Jean,QC,Canada,,,1976,,,
alexc001,Claire,Alexander,Claire,Arthur,Alexander,,The Milkman,,D,6,1,175,R,6,16,1945,Collingwood,ON,Canada,,,,,,
alexn001,Nikita,Alexeev,,,,,,,R,6,5,227,L,12,27,1981,Murmansk,,Russia,,,,,,
alfrd001,Daniel,Alfredsson,Daniel,,Alfredsson,,Alfie,,R,5,11,207,R,12,11,1972,Grums,,Sweden,,,,,,
aliua001,Akim,Aliu,,,,,,,R,6,4,225,,4,24,1989,Okene,,Nigeria,,,,,,
allaj001,Jeff,Allan,Jeffrey,,Allan,,,,D,6,1,194,R,5,17,1957,Toronto,ON,Canada,,,,,,
alleb001,Bobby,Allen,Robert,Paul,Allen,,,,D,6,1,215,L,11,14,1978,Weymouth,MA,USA,,,,,,
alleb002,Bryan,Allen,,,,,,,D,6,4,220,L,8,21,1980,Kingston,ON,Canada,,,,,,
allec001,Chris,Allen,Christopher,,Allen,,,,D,6,2,197,R,5,8,1978,Chatham,ON,Canada,,,,,,
alleg001,George,Allen,George,Trenholm,Allen,,,,L,5,10,162,L,7,27,1914,Bayfield,NB,Canada,3,27,2000,Red Deer,AB,Canada
allej001,Jake,Allen,,,,,,,G,6,2,190,,8,7,1990,Fredericton,NB,Canada,,,,,,
allek001,Keith,Allen,Courtney,Keith,Allen,,Bingo,,D,5,11,190,L,8,21,1923,Saskatoon,SK,Canada,,,,,,
allep001,Peter,Allen,Peter,,Allen,,,,D,6,2,200,R,3,6,1970,Calgary,AB,Canada,,,,,,
allev001,Viv,Allen,Vivan,Mariner,Allen,,Squee,,R,5,6,140,R,9,9,1916,Bayfield,NB,Canada,,,1995,,,
alles001,Steve,Alley,Steven,,Alley,,The Cat,,L,6,0,185,L,12,29,1953,Anoka,MN,USA,,,,,,
allid001,Dave,Allison,David,Bryan,Allison,,Sparky,,D,6,1,200,R,4,14,1959,Fort Frances,ON,Canada,,,,,,
allij001,Jason,Allison,Jason,Paul,Allison,,,,C,6,3,215,R,5,29,1975,North York,ON,Canada,,,,,,
allij002,Jamie,Allison,Jamie,,Allison,,,,D,6,1,210,L,5,13,1975,Lindsay,ON,Canada,,,,,,
allim001,Mike,Allison,Michael,Ernest,Allison,,Red Dog,,L,6,0,200,R,3,28,1961,Ft. Frances,ON,Canada,,,,,,
allir001,Ray,Allison,Raymond,Peter,Allison,,,,R,5,10,195,R,3,4,1959,Cranbrook,BC,Canada,,,,,,
allub001,Bill,Allum,William,James Douglas,Allum,,,,D,5,11,194,L,10,9,1916,Winnipeg,MB,Canada,3,14,1992,Winnipeg,MB,Canada
