code,name,year,no,date,team,opp,loc,w/l/t,ot,gf,ga,g-own,a,pts,+/-,pim,even,ppg,shg,sog,g-opp,a,pts,+/-,pim,even,ppg,shg,sog
,,2010-11,1,20110414,Buf,Phi,Phi,W,,1,0,1,2,3,5,12,1,0,0,25,0,0,0,5,4,0,0,0,35
,,2010-11,2,20110416,Buf,Phi,Phi,L,,4,5,4,7,11,10,27,2,2,0,28,5,10,15,10,23,4,1,0,34
,,2010-11,3,20110418,Buf,Phi,Buf,L,,2,4,2,4,6,11,10,1,1,0,37,4,6,10,10,16,3,1,0,26
,,2010-11,4,20110420,Buf,Phi,Buf,W,,1,0,1,2,3,5,12,1,0,0,29,0,0,0,5,15,0,0,0,32
,,2010-11,5,20110422,Buf,Phi,Phi,W,OT,4,3,4,8,12,0,12,3,1,0,32,3,6,9,0,8,3,0,0,39
,,2010-11,6,20110424,Buf,Phi,Buf,L,OT,4,5,4,7,11,11,12,2,2,0,33,5,9,14,11,12,4,1,0,49
,,2010-11,7,20110426,Buf,Phi,Phi,L,,2,5,2,4,6,10,22,1,1,0,28,5,8,13,10,32,3,2,0,36
,,2010-11,1,20110413,Chi,Van,Van,L,,0,2,0,0,0,10,6,0,0,0,32,2,3,5,10,8,2,0,0,33
,,2010-11,2,20110415,Chi,Van,Van,L,,3,4,3,4,7,0,4,3,0,0,26,4,8,12,0,4,3,1,0,27
,,2010-11,3,20110417,Chi,Van,Chi,L,,2,3,2,3,5,10,4,0,2,0,32,3,6,9,10,14,2,1,0,26
