year,league,tm,g,w,l,t,gf,ga,pim,bm,ppg,ppc,sha,pkg,pkc,shf
11-12,NHL,Bos,7,3,4,0,15,16,52,0,2,23,0,3,19,0
11-12,NHL,Chi,6,2,4,0,12,17,89,0,1,19,0,4,19,0
11-12,NHL,Det,5,1,4,0,9,13,55,0,4,23,0,2,22,0
11-12,NHL,Fla,7,3,4,0,17,18,66,0,9,27,0,5,25,1
11-12,NHL,LA,20,16,4,0,57,30,238,6,12,94,0,6,76,5
11-12,NHL,Nas,10,5,5,0,22,21,92,2,5,41,0,5,35,0
11-12,NHL,NJ,24,14,10,0,59,58,248,0,13,85,2,22,82,1
11-12,NHL,NYR,20,10,10,0,43,41,218,2,13,73,0,11,69,0
11-12,NHL,Ott,7,3,4,0,13,14,107,0,4,26,0,5,32,0
11-12,NHL,Phi,11,5,6,0,41,44,225,2,15,42,1,13,47,4
11-12,NHL,Pho,16,9,7,0,37,35,224,0,7,50,1,6,65,0
11-12,NHL,Pit,6,2,4,0,26,30,149,0,9,29,3,12,23,0
11-12,NHL,SJ,5,1,4,0,8,14,97,0,2,17,0,6,18,0
11-12,NHL,StL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
11-12,NHL,Van,5,1,4,0,8,12,94,0,3,21,2,3,26,0
11-12,NHL,Was,14,7,7,0,29,30,122,2,7,39,0,6,48,0
