code,name,year,no,date,team,opp,loc,w/l/t,ot,gf,ga,g-own,a,pts,+/-,pim,even,ppg,shg,sog,g-opp,a,pts,+/-,pim,even,ppg,shg,sog
,,2010-11,1,20101008,Buf,Ott,Ott,W,,2,1,2,4,6,0,12,1,1,0,36,1,2,3,0,10,1,0,0,26
,,2010-11,2,20101009,Buf,NYR,Buf,L,,3,6,3,6,9,21,18,2,1,0,36,6,9,15,19,10,5,0,1,28
,,2010-11,3,20101011,Buf,Chi,Buf,L,,3,4,3,6,9,0,11,3,0,0,35,4,4,8,0,26,3,1,0,30
,,2010-11,4,20101013,Buf,NJ,Buf,L,OT,0,1,0,0,0,4,11,0,0,0,24,1,2,3,4,9,1,0,0,35
,,2010-11,5,20101015,Buf,Mon,Buf,L,,1,2,1,2,3,0,6,1,0,0,23,2,3,5,0,2,1,1,0,28
,,2010-11,6,20101016,Buf,Chi,Chi,L,,3,4,3,5,8,1,12,3,0,0,41,4,6,10,1,16,3,1,0,21
,,2010-11,7,20101020,Buf,Atl,Atl,W,,4,1,4,8,12,15,8,3,1,0,42,1,2,3,15,12,0,1,0,18
,,2010-11,8,20101022,Buf,Ott,Buf,L,,2,4,2,3,5,0,10,2,0,0,36,4,6,10,0,4,2,2,0,32
,,2010-11,9,20101023,Buf,NJ,NJ,W,,6,1,6,10,16,20,6,5,1,0,29,1,2,3,20,8,1,0,0,27
,,2010-11,10,20101026,Buf,Phi,Phi,L,,3,6,3,6,9,11,15,1,2,0,35,6,9,15,10,11,3,3,0,34
