code,con,div,city,team,fran,league,1st,last
Mon,,,Montreal,Canadiens,Mon,NHL,1917-18,1925-26
Mon,,ca,Montreal,Canadiens,Mon,NHL,1926-27,1937-38
Mon,,,Montreal,Canadiens,Mon,NHL,1938-39,1966-67
Mon,,e,Montreal,Canadiens,Mon,NHL,1967-68,1973-74
Mon,wa,n,Montreal,Canadiens,Mon,NHL,1974-75,1980-81
Mon,wa,a,Montreal,Canadiens,Mon,NHL,1981-82,1992-93
Mon,e,ne,Montreal,Canadiens,Mon,NHL,1993-94,
Wan,,,Montreal,Wanderers,Wan,NHL,1917-18,1917-18
Ott,,,Ottawa,Senators,SLE,NHL,1917-18,1925-26
Ott,,ca,Ottawa,Senators,SLE,NHL,1926-27,1933-34
Tor,,,Toronto,Arenas,Tor,NHL,1917-18,1918-19
Que,,,Quebec,Bulldogs,Bro,NHL,1919-20,1919-20
Tor,,,Toronto,St. Patricks,Tor,NHL,1919-20,1925-26
Tor,,ca,Toronto,St. Patricks,Tor,NHL,1926-27,1926-27
Ham,,,Hamilton,Tigers,Bro,NHL,1920-21,1924-25
Bos,,,Boston,Bruins,Bos,NHL,1924-25,1925-26
Bos,,am,Boston,Bruins,Bos,NHL,1926-27,1937-38
Bos,,,Boston,Bruins,Bos,NHL,1938-39,1966-67
Bos,,e,Boston,Bruins,Bos,NHL,1967-68,1973-74
Bos,wa,a,Boston,Bruins,Bos,NHL,1974-75,1992-93
Bos,e,ne,Boston,Bruins,Bos,NHL,1993-94,
Mar,,,Montreal,Maroons,Mar,NHL,1924-25,1925-26
Mar,,ca,Montreal,Maroons,Mar,NHL,1926-27,1937-38
NYA,,,New York,Americans,Bro,NHL,1925-26,1925-26
NYA,,ca,New York,Americans,Bro,NHL,1926-27,1937-38
NYA,,,New York,Americans,Bro,NHL,1938-39,1940-41
Pit,,,Pittsburgh,Pirates,PhQ,NHL,1925-26,1925-26
Pit,,am,Pittsburgh,Pirates,PhQ,NHL,1926-27,1929-30
Chi,,am,Chicago,Black Hawks,Chi,NHL,1926-27,1937-38
