isbn,original_title,authors
439023483,The Hunger Games,Suzanne Collins
439554934,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré"
316015849,Twilight,Stephenie Meyer
61120081,To Kill a Mockingbird,Harper Lee
743273567,The Great Gatsby,F. Scott Fitzgerald
525478817,The Fault in Our Stars,John Green
618260307,The Hobbit or There and Back Again,J.R.R. Tolkien
316769177,The Catcher in the Rye,J.D. Salinger
1416524797,Angels & Demons ,Dan Brown
679783261,Pride and Prejudice,Jane Austen
1594480001,The Kite Runner ,Khaled Hosseini
62024035,Divergent,Veronica Roth
451524934,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster"
452284244,Animal Farm: A Fairy Story,George Orwell
553296981,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
307269752,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland"
439023491,Catching Fire,Suzanne Collins
043965548X,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck"
618346252, The Fellowship of the Ring,J.R.R. Tolkien
439023513,Mockingjay,Suzanne Collins
439358078,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré"
316166685,The Lovely Bones,Alice Sebold
439064864,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré"
439139600,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré"
545010225,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré"
307277674,The Da Vinci Code,Dan Brown
439785960,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré"
140283331,Lord of the Flies ,William Golding
743477111,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson"
297859382,Gone Girl,Gillian Flynn
399155341,The Help,Kathryn Stockett
142000671,Of Mice and Men ,John Steinbeck
739326228,Memoirs of a Geisha,Arthur Golden
1612130291,Fifty Shades of Grey,E.L. James
61122416,O Alquimista,"Paulo Coelho, Alan R. Clarke"
385732554,The Giver,Lois Lowry
60764899,"The Lion, the Witch and the Wardrobe",C.S. Lewis
965818675,The Time Traveler's Wife,Audrey Niffenegger
553588486,A Game of Thrones,George R.R. Martin
143038419,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert
786838655,The Lightning Thief,Rick Riordan
451529308,Little Women,Louisa May Alcott
142437204,Jane Eyre,"Charlotte Brontë, Michael Mason"
553816713,The Notebook,Nicholas Sparks
770430074,Life of Pi,Yann Martel
1565125606,Water for Elephants,Sara Gruen
375831002,The Book Thief,Markus Zusak
307347974,Fahrenheit 451,Ray Bradbury
316160199,"New Moon (Twilight, #2)",Stephenie Meyer
60513039,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein
1416914285,City of Bones,Cassandra Clare
316160202,Eclipse,Stephenie Meyer
375826696,Eragon,Christopher Paolini
345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams
60929871,Brave New World,Aldous Huxley
031606792X,Breaking Dawn,Stephenie Meyer
142001740,The Secret Life of Bees,Sue Monk Kidd
142437174,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell"
64410935,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells"
1400032717,The Curious Incident of the Dog in the Night-Time,Mark Haddon
1594633665,The Girl on the Train,Paula Hawkins
679879242,Northern Lights,Philip Pullman
393978893,Wuthering Heights,"Emily Brontë, Richard J. Dunn"
743454537,My Sister's Keeper,Jodi Picoult
385333846,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.
446675539,Gone with the Wind,Margaret Mitchell
1594489505,A Thousand Splendid Suns,Khaled Hosseini
671027344,The Perks of Being a Wallflower,Stephen Chbosky
7442912,Insurgent,Veronica Roth
812550706,Ender's Game,Orson Scott Card
141439475,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"
450040186,The Shining,Stephen King
316068047,The Host,Stephenie Meyer
142402516,Looking for Alaska,John Green
014028009X,,Helen Fielding
141439661,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster"
439244196,Holes,"Louis Sachar, Louis Sachar"
307275558,The Devil Wears Prada,Lauren Weisberger
143039954,Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"
156012197,Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta"
074324754X,The Glass Castle,Jeannette Walls
385486804,Into the Wild,Jon Krakauer
141439602,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne"
030734813X,Jurassic Park,Michael Crichton
60256656,The Giving Tree,Shel Silverstein
385338600,A Time to Kill,John Grisham
374500010,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel"
014241493X,Paper Towns,John Green
345418263,The Princess Bride,William Goldman
014038572X,The Outsiders,S.E. Hinton
385737947,The Maze Runner,James Dashner
61234001,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner"
517189607,The Secret Garden,Frances Hodgson Burnett
60531045,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa"
375751513,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides"
345803507,Fifty Shades Freed,E.L. James
393970124,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal"
307269981,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland"
1612130585,Fifty Shades Darker,E.L. James
60786507,The Poisonwood Bible,Barbara Kingsolver
349113912,Me Talk Pretty One Day,David Sedaris
99408392,Where the Wild Things Are,Maurice Sendak
140449264,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss"
307265439,The Road,Cormac McCarthy
7524277,Allegiant,Veronica Roth
,Bossypants,Tina Fey
446693804,A Walk to Remember,Nicholas Sparks
440241413,Confessions of a Shopaholic,Sophie Kinsella
451525264,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee"
553381695,A Clash of Kings,George R.R. Martin
143037145,The Memory Keeper's Daughter,Kim Edwards
670026603,Me Before You,Jojo Moyes
684833395,Catch-22,Joseph Heller
751529818,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys"
312422156,Middlesex,Jeffrey Eugenides
143039563,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye"
440498058,A Wrinkle in Time,Madeleine L'Engle
143038095,The Joy Luck Club,Amy Tan
038549081X,The Handmaid's Tale,Margaret Atwood
385729332,The Sisterhood of the Traveling Pants,Ann Brashares
,Lolita,"Vladimir Nabokov, Craig Raine"
60987103,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith"
582418275,The Firm,John Grisham
316098337,Room,Emma Donoghue
521618746,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson"
340839937,Dune,Frank Herbert
316346624,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
1451648537,Steve Jobs,Walter Isaacson
451163966,One Flew Over the Cuckoo's Nest,Ken Kesey
684830493,The Old Man and the Sea,Ernest Hemingway
142000663,The Grapes of Wrath,John Steinbeck
1401308589,The Five People You Meet in Heaven,Mitch Albom
451528824,Anne of Green Gables,L.M. Montgomery
1416914307,City of Glass,Cassandra Clare
055357342X,A Storm of Swords,George R.R. Martin
006075995X,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
440242940,Outlander,Diana Gabaldon
142437263,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
1594744769,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs
030726999X,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland"
804139024,The Martian,Andy Weir
451207149,The Pillars of the Earth,Ken Follett
1476746583,,Anthony Doerr
1400064163,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand
671027387,Deception Point,Dan Brown
316055433,The Goldfinch,Donna Tartt
1595141715,Thirteen Reasons Why,Jay Asher
452287022,Girl with a Pearl Earring,Tracy Chevalier
525421033,If I Stay,Gayle Forman
312353766,The Red Tent,Anita Diamant
786856866,The Sea of Monsters,Rick Riordan
446528056,Dear John,Nicholas Sparks
1416914293,City of Ashes,Cassandra Clare
743477103,The Tragedy of Macbeth,William Shakespeare
618346260,The Two Towers,J.R.R. Tolkien
031232118X,Something Borrowed,Emily Giffin
394800168,Green Eggs and Ham,"Dr. Seuss, לאה נאור"
142403881,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake"
1423101464,The Battle of the Labyrinth,Rick Riordan
192833596,Great Expectations,Charles Dickens
345339738,The Return of the King,J.R.R. Tolkien
,L’Étranger,"Albert Camus, Matthew    Ward"
142311339X,The Lost Hero,Rick Riordan
1250012570,Eleanor & Park,Rainbow Rowell
