Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8817,108395001,204,5940
justinbieber,Justin Bieber,30640,105275506,317092,3447
BarackObama,Barack Obama,15493,99213033,625389,10
Taylorswift13,Taylor Swift,83,85820477,0,115
rihanna,Rihanna,10064,86042486,1127,1025
youtube,YouTube,21627,71033759,1031,1777
theellenshow,Ellen DeGeneres,15829,76965853,35951,703
ladygaga,Lady Gaga,8663,76450405,128228,1830
twitter,Twitter,6511,62521499,145,5372
jtimberlake,Justin Timberlake,3786,65023308,260,50
britneyspears,Britney Spears,5368,56640515,388556,2490
cristiano,Cristiano Ronaldo,3090,68290074,96,0
kimkardashian,Kim Kardashian West,25596,58409245,129,4
selenagomez,Selena Gomez,4339,56239739,1260,167
cnnbrk,CNN Breaking News,59522,54085676,120,18
jimmyfallon,jimmy fallon,10381,50363949,7794,60
arianagrande,Ariana Grande,40416,57070705,64912,32581
shakira,Shakira,5266,50669948,209,1232
ddlovato,Demi Lovato,16608,54232626,551,1946
jlo,Jennifer Lopez,12353,44790066,1734,6583
instagram,Instagram,11445,39310032,4,160
oprah,Oprah Winfrey,12369,41381604,289,149
drake,Drizzy,1714,36650261,634,11
kingjames,LeBron James,5685,40444588,176,89
nytimes,The New York Times,306488,40914345,886,16093
billgates,Bill Gates,2570,43462323,183,37
cnn,CNN,165904,39200285,1114,1469
kevinhart4real,Kevin Hart,35466,35152513,554,85
mileycyrus,Miley Ray Cyrus,9264,38926288,384,270
onedirection,One Direction,9899,31791266,3911,301
sportscenter,SportsCenter,101118,35498742,1661,1158
espn,ESPN,93695,34006621,281,96
bbcbreaking,BBC Breaking News,33765,36761717,3,0
harry_styles,Harry Styles.,5404,31655906,2045,77
pink,P!nk,6799,32105097,450,424
liltunechi,Lil Wayne WEEZY F,1794,33343119,48,13
wizkhalifa,Wiz Khalifa,43725,32965725,830,53
niallofficial,Niall Horan,12432,38425022,5975,389
brunomars,Bruno Mars,4174,40139843,109,223
adele,Adele,301,28940987,156,0
narendramodi,Narendra Modi,17859,39548687,1859,0
neymarjr,Neymar Jr,41132,37231325,746,811
kanyewest,,,,,
kaka,Kaka,4841,29987006,354,95
actuallynph,Neil Patrick Harris,2830,27717701,124,185
realdonaldtrump,Donald J. Trump,36816,46881316,45,24
danieltosh,daniel tosh,13669,27584768,131,2
srbachchan,Amitabh Bachchan,60788,32916214,1169,62
aliciakeys,Alicia Keys,7337,30304011,689,220
nba,NBA,185951,27213281,1674,263
